File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
E:\2022\нно\AntColony\AntColony\Ant.cs,250,191,117,30,31,15,28,194,0,0
E:\2022\нно\AntColony\AntColony\AntBase.cs,244,181,107,26,31,22,32,177,0,0
E:\2022\нно\AntColony\AntColony\Enemy.cs,61,46,32,3,6,4,9,37,0,0
E:\2022\нно\AntColony\AntColony\Food.cs,24,19,13,0,3,2,2,6,0,0
E:\2022\нно\AntColony\AntColony\Form1.cs,49,42,30,0,7,3,0,8,0,0
E:\2022\нно\AntColony\AntColony\Form1.Designer.cs,303,218,197,1,8,0,77,71,0,0
E:\2022\нно\AntColony\AntColony\MyPanel.cs,20,18,9,0,2,0,0,0,0,0
E:\2022\нно\AntColony\AntColony\Program.cs,23,18,11,0,2,0,3,10,0,0
E:\2022\нно\AntColony\AntColony\World.cs,58,42,26,5,9,4,7,26,0,0
E:\2022\нно\AntColony\AntColony\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,101,0,0
E:\2022\нно\AntColony\AntColony\Properties\Resources.Designer.cs,72,41,16,3,9,1,22,118,0,1
E:\2022\нно\AntColony\AntColony\Properties\Settings.Designer.cs,31,17,6,1,6,1,8,30,0,1
